datetime,purpose_id,units,reading,upload_timestamp
1490695200.0,9,%,53.9,1490753645.7590885
1490695500.0,9,%,53.9,1490753645.7590885
1490695800.0,9,%,53.9,1490753645.7590885
1490696100.0,9,%,53.9,1490753645.7590885
1490696400.0,9,%,53.9,1490753645.7590885
1490696700.0,9,%,53.9,1490753645.7590885
1490697000.0,9,%,53.9,1490753645.7590885
1490697300.0,9,%,53.8,1490753645.7590885
1490697600.0,9,%,53.9,1490753645.7590885
1490697900.0,9,%,53.8,1490753645.7590885
1490698200.0,9,%,53.8,1490753645.7590885
1490698500.0,9,%,53.9,1490753645.7590885
1490698800.0,9,%,53.8,1490753645.7590885
1490699100.0,9,%,53.9,1490753645.7590885
1490699400.0,9,%,53.9,1490753645.7590885
1490699700.0,9,%,53.9,1490753645.7590885
1490700000.0,9,%,53.8,1490753645.7590885
1490700300.0,9,%,53.9,1490753645.7590885
1490700600.0,9,%,53.9,1490753645.7590885
1490700900.0,9,%,53.8,1490753645.7590885
1490701200.0,9,%,53.8,1490753645.7590885
1490701500.0,9,%,53.9,1490753645.7590885
1490701800.0,9,%,53.8,1490753645.7590885
1490702100.0,9,%,53.8,1490753645.7590885
1490702400.0,9,%,53.8,1490753645.7590885
1490702700.0,9,%,53.9,1490753645.7590885
1490703000.0,9,%,53.9,1490753645.7590885
1490703300.0,9,%,53.9,1490753645.7590885
1490703600.0,9,%,53.8,1490753645.7590885
1490703900.0,9,%,53.9,1490753645.7590885
1490704200.0,9,%,53.7,1490753645.7590885
1490704500.0,9,%,53.8,1490753645.7590885
1490704800.0,9,%,53.7,1490753645.7590885
1490705100.0,9,%,53.8,1490753645.7590885
1490705400.0,9,%,53.7,1490753645.7590885
1490705700.0,9,%,53.7,1490753645.7590885
1490706000.0,9,%,53.7,1490753645.7590885
1490706300.0,9,%,53.7,1490753645.7590885
1490706600.0,9,%,53.8,1490753645.7590885
1490706900.0,9,%,53.7,1490753645.7590885
1490707200.0,9,%,53.7,1490753645.7590885
1490707500.0,9,%,53.7,1490753645.7590885
1490707800.0,9,%,53.7,1490753645.7590885
1490708100.0,9,%,53.6,1490753645.7590885
1490708400.0,9,%,53.6,1490753645.7590885
1490708700.0,9,%,53.6,1490753645.7590885
1490709000.0,9,%,53.5,1490753645.7590885
1490709300.0,9,%,53.6,1490753645.7590885
1490709600.0,9,%,53.5,1490753645.7590885
1490709900.0,9,%,53.5,1490753645.7590885
1490710200.0,9,%,53.5,1490753645.7590885
1490710500.0,9,%,53.4,1490753645.7590885
1490710800.0,9,%,53.4,1490753645.7590885
1490711100.0,9,%,53.4,1490753645.7590885
1490711400.0,9,%,53.4,1490753645.7590885
1490711700.0,9,%,53.4,1490753645.7590885
1490712000.0,9,%,53.4,1490753645.7590885
1490712300.0,9,%,53.3,1490753645.7590885
1490712600.0,9,%,53.4,1490753645.7590885
1490712900.0,9,%,53.4,1490753645.7590885
1490713200.0,9,%,53.4,1490753645.7590885
1490713500.0,9,%,53.4,1490753645.7590885
1490713800.0,9,%,53.4,1490753645.7590885
1490714100.0,9,%,53.4,1490753645.7590885
1490714400.0,9,%,53.4,1490753645.7590885
1490714700.0,9,%,53.3,1490753645.7590885
1490715000.0,9,%,53.4,1490753645.7590885
1490715300.0,9,%,53.4,1490753645.7590885
1490715600.0,9,%,53.3,1490753645.7590885
1490715900.0,9,%,53.3,1490753645.7590885
1490716200.0,9,%,53.4,1490753645.7590885
1490716500.0,9,%,53.3,1490753645.7590885
1490716800.0,9,%,53.4,1490753645.7590885
1490717100.0,9,%,53.5,1490753645.7590885
1490717400.0,9,%,53.4,1490753645.7590885
1490717700.0,9,%,53.5,1490753645.7590885
1490718000.0,9,%,53.5,1490753645.7590885
1490718300.0,9,%,53.4,1490753645.7590885
1490718600.0,9,%,53.5,1490753645.7590885
1490718900.0,9,%,53.5,1490753645.7590885
1490719200.0,9,%,53.4,1490753645.7590885
