sensor_id,datetime,value
1,1488535200.0,1.6
1,1488535500.0,11.3
1,1488535800.0,0.0
1,1488536100.0,2.1
1,1488536400.0,4.2
1,1488536700.0,0.0
1,1488537000.0,0.0
1,1488537300.0,14.1
1,1488537600.0,0.0
1,1488537900.0,14.5
1,1488538200.0,0.0
1,1488538500.0,10.9
1,1488538800.0,2.9
1,1488539100.0,12.0
1,1488539400.0,0.0
1,1488539700.0,7.0
1,1488540000.0,0.8
1,1488540300.0,4.7
1,1488540600.0,7.0
1,1488540900.0,0.0
1,1488541200.0,4.6
1,1488541500.0,10.0
1,1488541800.0,0.0
1,1488542100.0,4.7
1,1488542400.0,3.2
1,1488542700.0,4.8
1,1488543000.0,0.0
1,1488543300.0,0.0
1,1488543600.0,10.7
1,1488543900.0,0.0
1,1488544200.0,0.0
1,1488544500.0,14.4
1,1488544800.0,0.0
1,1488545100.0,15.1
1,1488545400.0,0.0
1,1488545700.0,13.4
1,1488546000.0,0.0
1,1488546300.0,14.6
1,1488546600.0,0.0
1,1488546900.0,1.3
1,1488547200.0,0.0
1,1488547500.0,9.3
1,1488547800.0,13.6
1,1488548100.0,0.4
1,1488548400.0,11.0
1,1488548700.0,0.9
1,1488549000.0,0.0
1,1488549300.0,5.5
1,1488549600.0,14.7
1,1488549900.0,0.0
1,1488550200.0,6.7
1,1488550500.0,8.6
1,1488550800.0,14.3
1,1488551100.0,13.4
1,1488551400.0,9.0
1,1488551700.0,0.0
1,1488552000.0,12.8
1,1488552300.0,0.0
1,1488552600.0,13.0
1,1488552900.0,0.2
1,1488553200.0,14.6
1,1488553500.0,0.0
1,1488553800.0,0.0
1,1488554100.0,11.7
1,1488554400.0,14.3
1,1488554700.0,0.0
1,1488555000.0,5.0
1,1488555300.0,0.0
1,1488555600.0,0.0
1,1488555900.0,0.2
1,1488556200.0,14.8
1,1488556500.0,12.5
1,1488556800.0,10.7
1,1488557100.0,0.0
1,1488557400.0,1.2
1,1488557700.0,14.5
