node,sensor,unit,timestamp,value
frog-2,light,lux,1488234900.0,111.9
frog-2,light,lux,1488235200.0,119.9
frog-2,light,lux,1488235500.0,147.5
frog-2,light,lux,1488235800.0,133.2
frog-2,light,lux,1488236100.0,124.4
frog-2,light,lux,1488236400.0,142.0
frog-2,light,lux,1488236700.0,146.7
frog-2,light,lux,1488237000.0,137.9
frog-2,light,lux,1488237300.0,122.7
frog-2,light,lux,1488237600.0,126.3
frog-2,light,lux,1488237900.0,118.3
frog-2,light,lux,1488238200.0,112.9
frog-2,light,lux,1488238500.0,140.2
frog-2,light,lux,1488238800.0,109.5
frog-2,light,lux,1488239100.0,143.9
frog-2,light,lux,1488239400.0,137.8
frog-2,light,lux,1488239700.0,122.7
frog-2,light,lux,1488240000.0,145.6
frog-2,light,lux,1488240300.0,138.2
frog-2,light,lux,1488240600.0,127.3
frog-2,light,lux,1488240900.0,146.6
frog-2,light,lux,1488241200.0,129.4
frog-2,light,lux,1488241500.0,128.5
frog-2,light,lux,1488241800.0,130.8
frog-2,light,lux,1488242100.0,107.9
frog-2,light,lux,1488242400.0,104.5
frog-2,light,lux,1488242700.0,130.2
frog-2,light,lux,1488243000.0,102.4
frog-2,light,lux,1488243300.0,129.7
frog-2,light,lux,1488243600.0,123.3
frog-2,light,lux,1488243900.0,121.6
frog-2,light,lux,1488244200.0,125.4
frog-2,light,lux,1488244500.0,115.0
frog-2,light,lux,1488244800.0,129.8
frog-2,light,lux,1488245100.0,117.5
frog-2,light,lux,1488245400.0,132.2
frog-2,light,lux,1488245700.0,117.6
frog-2,light,lux,1488246000.0,127.3
frog-2,light,lux,1488246300.0,116.1
frog-2,light,lux,1488246600.0,107.2
frog-2,light,lux,1488246900.0,120.3
frog-2,light,lux,1488247200.0,119.5
frog-2,light,lux,1488247500.0,130.1
frog-2,light,lux,1488247800.0,121.6
frog-2,light,lux,1488248100.0,110.4
frog-2,light,lux,1488248400.0,110.1
frog-2,light,lux,1488248700.0,109.5
frog-2,light,lux,1488249000.0,110.1
frog-2,light,lux,1488249300.0,107.0
frog-2,light,lux,1488249600.0,101.7
frog-2,light,lux,1488249900.0,109.8
frog-2,light,lux,1488250200.0,100.8
frog-2,light,lux,1488250500.0,114.0
frog-2,light,lux,1488250800.0,106.5
frog-2,light,lux,1488251100.0,105.7
frog-2,light,lux,1488251400.0,99.6
frog-2,light,lux,1488251700.0,105.3
frog-2,light,lux,1488252000.0,88.3
frog-2,light,lux,1488252300.0,86.5
frog-2,light,lux,1488252600.0,96.1
frog-2,light,lux,1488252900.0,94.7
frog-2,light,lux,1488253200.0,84.4
