node,sensor,unit,timestamp,value
frog-1,light,lux,1488378000.0,1.3
frog-1,light,lux,1488378300.0,3.2
frog-1,light,lux,1488378600.0,14.5
frog-1,light,lux,1488378900.0,14.3
frog-1,light,lux,1488379200.0,14.0
frog-1,light,lux,1488379500.0,14.2
frog-1,light,lux,1488379800.0,0.0
frog-1,light,lux,1488380100.0,2.3
frog-1,light,lux,1488380400.0,12.0
frog-1,light,lux,1488380700.0,0.1
frog-1,light,lux,1488381000.0,0.0
frog-1,light,lux,1488381300.0,0.0
frog-1,light,lux,1488381600.0,12.1
frog-1,light,lux,1488381900.0,14.3
frog-1,light,lux,1488382200.0,6.4
frog-1,light,lux,1488382500.0,2.6
frog-1,light,lux,1488382800.0,7.2
frog-1,light,lux,1488383100.0,5.5
frog-1,light,lux,1488383400.0,0.0
frog-1,light,lux,1488383700.0,0.0
frog-1,light,lux,1488384000.0,0.0
frog-1,light,lux,1488384300.0,7.8
frog-1,light,lux,1488384600.0,0.0
frog-1,light,lux,1488384900.0,9.6
frog-1,light,lux,1488385200.0,0.0
frog-1,light,lux,1488385500.0,5.4
frog-1,light,lux,1488385800.0,14.3
frog-1,light,lux,1488386100.0,0.1
frog-1,light,lux,1488386400.0,14.4
frog-1,light,lux,1488386700.0,12.2
frog-1,light,lux,1488387000.0,2.4
frog-1,light,lux,1488387300.0,14.3
frog-1,light,lux,1488387600.0,3.4
frog-1,light,lux,1488387900.0,3.2
frog-1,light,lux,1488388200.0,0.0
frog-1,light,lux,1488388500.0,1.4
frog-1,light,lux,1488388800.0,2.4
frog-1,light,lux,1488389100.0,5.3
frog-1,light,lux,1488389400.0,8.8
frog-1,light,lux,1488389700.0,16.7
frog-1,light,lux,1488390000.0,17.5
frog-1,light,lux,1488390300.0,18.2
frog-1,light,lux,1488390600.0,2.9
frog-1,light,lux,1488390900.0,10.8
frog-1,light,lux,1488391200.0,13.4
frog-1,light,lux,1488391500.0,38.1
frog-1,light,lux,1488391800.0,24.5
frog-1,light,lux,1488392100.0,41.3
frog-1,light,lux,1488392400.0,46.5
frog-1,light,lux,1488392700.0,108.1
frog-1,light,lux,1488393000.0,96.5
frog-1,light,lux,1488393300.0,94.1
frog-1,light,lux,1488393600.0,86.3
frog-1,light,lux,1488393900.0,67.3
frog-1,light,lux,1488394200.0,88.6
frog-1,light,lux,1488394500.0,0.0
frog-1,light,lux,1488394800.0,0.4
frog-1,light,lux,1488395100.0,5.0
frog-1,light,lux,1488395400.0,3.8
frog-1,light,lux,1488395700.0,3.7
frog-1,light,lux,1488396000.0,20.9
frog-1,light,lux,1488396300.0,13.4
frog-1,light,lux,1488396600.0,17.7
frog-1,light,lux,1488396900.0,24.8
frog-1,light,lux,1488397200.0,22.5
frog-1,light,lux,1488397500.0,20.2
frog-1,light,lux,1488397800.0,14.1
frog-1,light,lux,1488398100.0,24.9
frog-1,light,lux,1488398400.0,24.0
frog-1,light,lux,1488398700.0,44.0
frog-1,light,lux,1488399000.0,60.3
frog-1,light,lux,1488399300.0,57.1
frog-1,light,lux,1488399600.0,31.6
frog-1,light,lux,1488399900.0,37.3
frog-1,light,lux,1488400200.0,35.6
frog-1,light,lux,1488400500.0,26.6
frog-1,light,lux,1488400800.0,31.4
frog-1,light,lux,1488401100.0,36.4
frog-1,light,lux,1488401400.0,42.7
frog-1,light,lux,1488401700.0,43.5
frog-1,light,lux,1488402000.0,74.6
frog-1,light,lux,1488402300.0,72.6
frog-1,light,lux,1488402600.0,52.5
frog-1,light,lux,1488402900.0,55.4
frog-1,light,lux,1488403200.0,60.1
frog-1,light,lux,1488403500.0,47.1
frog-1,light,lux,1488403800.0,48.1
frog-1,light,lux,1488404100.0,72.2
frog-1,light,lux,1488404400.0,124.1
frog-1,light,lux,1488404700.0,163.1
frog-1,light,lux,1488405000.0,146.9
frog-1,light,lux,1488405300.0,160.4
frog-1,light,lux,1488405600.0,125.2
frog-1,light,lux,1488405900.0,149.4
frog-1,light,lux,1488406200.0,133.0
frog-1,light,lux,1488406500.0,114.3
frog-1,light,lux,1488406800.0,101.5
frog-1,light,lux,1488407100.0,93.1
frog-1,light,lux,1488407400.0,106.0
frog-1,light,lux,1488407700.0,113.6
frog-1,light,lux,1488408000.0,99.1
frog-1,light,lux,1488408300.0,106.3
frog-1,light,lux,1488408600.0,74.0
frog-1,light,lux,1488408900.0,67.3
frog-1,light,lux,1488409200.0,75.1
frog-1,light,lux,1488409500.0,72.7
frog-1,light,lux,1488409800.0,65.1
frog-1,light,lux,1488410100.0,50.3
frog-1,light,lux,1488410400.0,69.9
frog-1,light,lux,1488410700.0,27.9
frog-1,light,lux,1488411000.0,84.4
frog-1,light,lux,1488411300.0,96.1
frog-1,light,lux,1488411600.0,112.6
frog-1,light,lux,1488411900.0,82.3
frog-1,light,lux,1488412200.0,84.2
frog-1,light,lux,1488412500.0,86.9
frog-1,light,lux,1488412800.0,127.9
frog-1,light,lux,1488413100.0,115.3
frog-1,light,lux,1488413400.0,91.2
frog-1,light,lux,1488413700.0,110.9
frog-1,light,lux,1488414000.0,138.2
frog-1,light,lux,1488414300.0,111.2
frog-1,light,lux,1488414600.0,101.6
frog-1,light,lux,1488414900.0,80.6
frog-1,light,lux,1488415200.0,95.9
frog-1,light,lux,1488415500.0,98.5
frog-1,light,lux,1488415800.0,108.1
frog-1,light,lux,1488416100.0,120.4
frog-1,light,lux,1488416400.0,149.3
frog-1,light,lux,1488416700.0,145.7
frog-1,light,lux,1488417000.0,159.9
frog-1,light,lux,1488417300.0,111.0
frog-1,light,lux,1488417600.0,115.1
frog-1,light,lux,1488417900.0,119.1
frog-1,light,lux,1488418200.0,140.9
frog-1,light,lux,1488418500.0,171.6
frog-1,light,lux,1488418800.0,97.7
frog-1,light,lux,1488419100.0,52.6
frog-1,light,lux,1488419400.0,47.2
frog-1,light,lux,1488419700.0,51.1
frog-1,light,lux,1488420000.0,72.6
frog-1,light,lux,1488420300.0,53.4
frog-1,light,lux,1488420600.0,33.5
frog-1,light,lux,1488420900.0,26.1
frog-1,light,lux,1488421200.0,19.8
frog-1,light,lux,1488421500.0,32.9
frog-1,light,lux,1488421800.0,20.8
